Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização
7874146-02.2025.8.08.7476,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"6.237,85","2.869,41"
2571284-87.2025.8.07.0495,DF,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"25.178,54","20.898,19"
8621793-22.2025.8.01.9416,AC,Não reconhece operação,Golpe,Êxito,Improcedência,"11.186,89","0,00"
3407291-91.2025.8.07.1078,DF,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"15.102,79","10.118,87"
8890323-84.2025.8.15.9321,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"17.988,20","0,00"
3853090-32.2025.8.17.2644,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"16.328,35","8.490,74"
2101621-21.2025.8.12.6349,MS,Não reconhece operação,Genérico,Êxito,Extinção,"23.400,73","0,00"
2664941-07.2025.8.08.1562,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"10.717,26","6.644,70"
5124348-75.2025.8.01.2925,AC,Não reconhece operação,Genérico,Êxito,Improcedência,"12.216,33","0,00"
5383486-67.2025.8.01.9908,AC,Não reconhece operação,Genérico,Êxito,Extinção,"14.853,01","0,00"
7803104-01.2025.8.16.5832,PR,Não reconhece operação,Golpe,Êxito,Extinção,"16.434,57","0,00"
3339682-83.2025.8.25.4492,SE,Não reconhece operação,Golpe,Êxito,Extinção,"13.340,59","0,00"
2015206-90.2025.8.11.9433,MT,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"13.868,63","4.854,02"
5224523-18.2025.8.09.1853,GO,Não reconhece operação,Genérico,Êxito,Improcedência,"16.363,96","0,00"
1820561-05.2025.8.04.7516,AM,Não reconhece operação,Genérico,Êxito,Improcedência,"22.750,41","0,00"
6181044-89.2025.8.14.7835,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"8.002,55","0,00"
2391602-76.2025.8.18.5368,PI,Não reconhece operação,Genérico,Êxito,Improcedência,"15.304,36","0,00"
2469476-06.2025.8.20.7654,RN,Não reconhece operação,Golpe,Êxito,Extinção,"9.222,31","0,00"
3588854-24.2025.8.09.9076,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"18.289,23","0,00"
4781817-96.2025.8.15.2699,PB,Não reconhece operação,Golpe,Não Êxito,Procedência,"14.180,50","11.769,82"
3986963-38.2025.8.27.0248,TO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.970,32","7.335,46"
1711558-68.2025.8.04.0188,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"21.634,13","21.634,13"
3336141-98.2025.8.19.5192,RJ,Não reconhece operação,Golpe,Não Êxito,Procedência,"17.624,28","16.038,09"
6835584-35.2025.8.26.1256,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"13.840,61","0,00"
8397728-48.2025.8.13.7520,MG,Não reconhece operação,Golpe,Não Êxito,Procedência,"17.809,34","14.959,85"
2073089-89.2025.8.26.5834,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"19.023,90","12.746,01"
7185715-99.2025.8.08.3476,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"20.776,96","0,00"
3899027-48.2025.8.26.3495,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"13.385,12","0,00"
6953956-30.2025.8.13.9964,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"24.062,44","0,00"
8453070-67.2025.8.01.4214,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"3.573,86","1.250,85"
8645081-66.2025.8.11.7114,MT,Não reconhece operação,Golpe,Êxito,Extinção,"26.351,47","0,00"
8041164-77.2025.8.27.8189,TO,Não reconhece operação,Golpe,Êxito,Extinção,"17.469,36","0,00"
9012737-96.2025.8.10.7966,MA,Não reconhece operação,Genérico,Êxito,Extinção,"12.710,94","0,00"
1037459-37.2025.8.03.5478,AP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"10.803,42","7.238,29"
7292444-52.2025.8.26.4699,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"9.020,81","3.518,12"
2326962-99.2025.8.17.6163,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"22.485,19","13.491,11"
5491017-11.2025.8.14.1189,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"11.949,16","9.081,36"
6251675-81.2025.8.03.6105,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,"20.870,38","17.531,12"
6006384-90.2025.8.09.8479,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"14.536,98","0,00"
7242777-08.2025.8.07.9180,DF,Não reconhece operação,Golpe,Êxito,Improcedência,"25.552,53","0,00"
7636311-62.2025.8.19.4220,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"11.908,52","4.287,07"
7323196-80.2025.8.16.8778,PR,Não reconhece operação,Golpe,Êxito,Improcedência,"14.426,41","0,00"
9969376-85.2025.8.25.9622,SE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"19.429,57","5.828,87"
4461556-96.2025.8.26.5058,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"11.568,65","6.594,13"
2552773-11.2025.8.04.1962,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"9.477,85","0,00"
4270883-40.2025.8.16.8842,PR,Não reconhece operação,Golpe,Êxito,Extinção,"8.028,91","0,00"
8083547-43.2025.8.12.9104,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"16.090,06","0,00"
3725369-52.2025.8.01.1070,AC,Não reconhece operação,Genérico,Êxito,Improcedência,"28.787,35","0,00"
7783210-72.2025.8.07.1810,DF,Não reconhece operação,Golpe,Êxito,Improcedência,"19.820,37","0,00"
4579979-36.2025.8.04.2005,AM,Não reconhece operação,Golpe,Êxito,Extinção,"20.550,65","0,00"
3184214-34.2025.8.09.7109,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"15.834,32","0,00"
6265374-99.2025.8.10.9835,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"22.152,65","0,00"
7680253-96.2025.8.24.4896,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"21.241,03","0,00"
2214491-13.2025.8.27.1383,TO,Não reconhece operação,Golpe,Êxito,Extinção,"4.140,32","0,00"
2102272-94.2025.8.21.5343,RS,Não reconhece operação,Genérico,Êxito,Extinção,"14.704,77","0,00"
7511461-21.2025.8.06.9329,CE,Não reconhece operação,Genérico,Êxito,Extinção,"14.793,91","0,00"
7652660-43.2025.8.27.7693,TO,Não reconhece operação,Genérico,Êxito,Improcedência,"13.537,06","0,00"
9594213-79.2025.8.20.8236,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"14.219,76","0,00"
7573064-35.2025.8.17.0285,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"12.853,05","0,00"
9183675-35.2025.8.05.6461,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"14.698,87","0,00"
5357894-23.2025.8.03.5758,AP,Não reconhece operação,Golpe,Êxito,Extinção,"10.774,59","0,00"
2442737-66.2025.8.03.2555,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,"8.280,41","7.369,56"
1357155-94.2025.8.06.8809,CE,Não reconhece operação,Genérico,Êxito,Improcedência,"12.084,76","0,00"
9503052-07.2025.8.02.0492,AL,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.863,19","6.931,60"
8204880-99.2025.8.20.9168,RN,Não reconhece operação,Genérico,Êxito,Extinção,"6.804,60","0,00"
3467150-25.2025.8.08.6215,ES,Não reconhece operação,Golpe,Êxito,Extinção,"14.522,48","0,00"
6323331-32.2025.8.01.0421,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"11.418,82","3.996,59"
2380665-17.2025.8.14.4261,PA,Não reconhece operação,Golpe,Êxito,Extinção,"20.322,93","0,00"
9591101-73.2025.8.19.7762,RJ,Não reconhece operação,Golpe,Êxito,Extinção,"21.439,86","0,00"
6604098-87.2025.8.24.7812,SC,Não reconhece operação,Golpe,Êxito,Extinção,"18.973,15","0,00"
5933171-51.2025.8.14.1995,PA,Não reconhece operação,Genérico,Êxito,Improcedência,"22.187,21","0,00"
4702226-69.2025.8.19.2044,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,"19.072,99","0,00"
2214214-97.2025.8.06.6237,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"20.931,48","12.768,20"
9913481-02.2025.8.02.1893,AL,Não reconhece operação,Genérico,Êxito,Extinção,"13.676,43","0,00"
2857630-47.2025.8.05.2238,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"18.922,68","0,00"
1458532-80.2025.8.19.9579,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"13.658,80","0,00"
5557292-20.2025.8.17.9645,PE,Não reconhece operação,Genérico,Êxito,Improcedência,"20.837,48","0,00"
2304422-40.2025.8.16.7031,PR,Não reconhece operação,Genérico,Êxito,Extinção,"21.808,76","0,00"
7306474-90.2025.8.25.5574,SE,Não reconhece operação,Golpe,Não Êxito,Procedência,"15.867,95","13.805,12"
1809247-60.2025.8.12.6810,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"11.987,98","0,00"
5687252-02.2025.8.11.4568,MT,Não reconhece operação,Golpe,Êxito,Extinção,"28.529,50","0,00"
3700053-77.2025.8.17.7652,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"21.396,35","0,00"
9234952-93.2025.8.20.7154,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"9.531,06","0,00"
9690464-35.2025.8.03.9543,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"21.422,82","20.351,68"
7068324-99.2025.8.10.4472,MA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"4.668,95","1.213,93"
2767385-20.2025.8.06.4162,CE,Não reconhece operação,Genérico,Êxito,Improcedência,"15.188,58","0,00"
2520512-68.2025.8.11.6067,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"16.034,44","0,00"
7334483-36.2025.8.04.9879,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.384,23","17.465,02"
5368166-49.2025.8.02.1625,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"12.541,66","0,00"
9836110-64.2025.8.12.1211,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"15.415,92","0,00"
2057740-97.2025.8.20.8288,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"10.408,83","0,00"
6158937-15.2025.8.08.1486,ES,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"26.345,83","14.753,66"
4230598-39.2025.8.16.0107,PR,Não reconhece operação,Golpe,Êxito,Improcedência,"24.407,37","0,00"
9580529-57.2025.8.10.9527,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"2.669,40","0,00"
1501124-32.2025.8.18.1134,PI,Não reconhece operação,Golpe,Êxito,Improcedência,"11.630,48","0,00"
3836283-48.2025.8.18.1652,PI,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"12.534,00","6.016,32"
5328958-48.2025.8.05.0323,BA,Não reconhece operação,Genérico,Êxito,Improcedência,"8.170,16","0,00"
3251822-09.2025.8.15.0685,PB,Não reconhece operação,Genérico,Êxito,Improcedência,"13.460,90","0,00"
7473662-70.2025.8.11.9327,MT,Não reconhece operação,Genérico,Êxito,Improcedência,"16.106,05","0,00"
1002527-00.2025.8.26.1330,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"3.355,40","0,00"
5219843-51.2025.8.13.1161,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"11.543,95","0,00"
2844595-10.2025.8.01.6042,AC,Não reconhece operação,Golpe,Êxito,Improcedência,"16.660,92","0,00"
6162129-93.2025.8.14.1165,PA,Não reconhece operação,Golpe,Êxito,Extinção,"12.553,87","0,00"
9208437-46.2025.8.14.0470,PA,Não reconhece operação,Genérico,Êxito,Extinção,"18.883,00","0,00"
3019020-29.2025.8.17.4855,PE,Não reconhece operação,Golpe,Êxito,Extinção,"19.788,23","0,00"
3375925-01.2025.8.05.8828,BA,Não reconhece operação,Golpe,Êxito,Extinção,"22.723,27","0,00"
1923251-00.2025.8.04.0678,AM,Não reconhece operação,Genérico,Êxito,Extinção,"22.914,08","0,00"
9373927-04.2025.8.17.8975,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"14.931,84","0,00"
1652919-53.2025.8.16.8263,PR,Não reconhece operação,Golpe,Não Êxito,Procedência,"14.272,14","12.416,76"
3446485-14.2025.8.21.9849,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"6.200,46","0,00"
5577039-44.2025.8.08.8363,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.498,09","9.583,64"
8155686-95.2025.8.10.9529,MA,Não reconhece operação,Golpe,Êxito,Extinção,"16.336,47","0,00"
8850993-02.2025.8.17.5009,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"5.482,50","3.289,50"
1105556-91.2025.8.25.0639,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"13.600,67","0,00"
7880874-67.2025.8.09.8208,GO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.659,05","7.512,48"
2672014-10.2025.8.22.0264,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"9.245,01","0,00"
4103812-61.2025.8.10.2964,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"11.908,42","0,00"
8217453-18.2025.8.24.1607,SC,Não reconhece operação,Genérico,Êxito,Improcedência,"7.987,40","0,00"
6909163-85.2025.8.12.2613,MS,Não reconhece operação,Golpe,Êxito,Extinção,"8.361,56","0,00"
3826263-78.2025.8.19.1367,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"11.768,18","8.590,77"
9594883-19.2025.8.24.4275,SC,Não reconhece operação,Golpe,Não Êxito,Procedência,"22.834,76","21.236,33"
9132710-40.2025.8.03.1878,AP,Não reconhece operação,Genérico,Êxito,Improcedência,"12.827,59","0,00"
8027380-85.2025.8.26.8869,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"15.987,07","0,00"
9541242-53.2025.8.12.3994,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"21.195,61","0,00"
8659568-43.2025.8.24.2269,SC,Não reconhece operação,Genérico,Êxito,Improcedência,"21.450,69","0,00"
8295227-71.2025.8.08.4431,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"18.163,22","0,00"
6261874-73.2025.8.08.0713,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"13.270,39","0,00"
8541429-49.2025.8.04.7028,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"9.127,37","9.127,37"
4938399-38.2025.8.02.9112,AL,Não reconhece operação,Genérico,Êxito,Improcedência,"17.525,88","0,00"
7447965-64.2025.8.12.4774,MS,Não reconhece operação,Golpe,Êxito,Extinção,"10.182,35","0,00"
4759043-83.2025.8.01.5090,AC,Não reconhece operação,Genérico,Não Êxito,Procedência,"16.260,37","14.309,13"
6063729-71.2025.8.10.0265,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"8.730,74","0,00"
2349153-47.2025.8.09.1706,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,"19.047,77","16.000,13"
7562402-16.2025.8.13.9660,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"7.857,01","0,00"
3363024-76.2025.8.20.4845,RN,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"22.597,50","10.846,80"
1609260-81.2025.8.09.0232,GO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"4.625,49","2.127,73"
9626018-61.2025.8.18.6232,PI,Não reconhece operação,Golpe,Êxito,Extinção,"13.722,86","0,00"
8328436-00.2025.8.21.1153,RS,Não reconhece operação,Genérico,Êxito,Improcedência,"13.767,19","0,00"
3938345-66.2025.8.19.3173,RJ,Não reconhece operação,Golpe,Êxito,Extinção,"14.006,87","0,00"
5237322-14.2025.8.10.5095,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"15.789,25","0,00"
2985753-78.2025.8.22.8675,RO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"17.453,13","12.740,78"
8576810-02.2025.8.18.5926,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"15.354,47","9.826,86"
4297030-48.2025.8.07.4078,DF,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"12.676,22","7.352,21"
4655815-44.2025.8.22.7703,RO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.795,30","9.585,60"
8010815-99.2025.8.19.6465,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"21.568,93","16.608,08"
9069550-88.2025.8.13.4649,MG,Não reconhece operação,Golpe,Êxito,Extinção,"18.150,38","0,00"
1770761-83.2025.8.12.2039,MS,Não reconhece operação,Golpe,Êxito,Extinção,"13.968,15","0,00"
5486386-22.2025.8.13.9751,MG,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"19.203,25","10.945,85"
3435003-94.2025.8.11.6620,MT,Não reconhece operação,Genérico,Êxito,Extinção,"17.938,57","0,00"
6766781-89.2025.8.25.8786,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"8.546,92","0,00"
5947275-44.2025.8.16.5990,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"10.740,18","8.699,55"
1788015-15.2025.8.08.0315,ES,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"16.379,38","10.482,80"
6900939-93.2025.8.22.2539,RO,Não reconhece operação,Golpe,Não Êxito,Procedência,"13.930,75","13.094,91"
4034504-61.2025.8.06.5865,CE,Não reconhece operação,Genérico,Êxito,Extinção,"18.190,09","0,00"
2544514-31.2025.8.18.8486,PI,Não reconhece operação,Genérico,Êxito,Improcedência,"21.308,11","0,00"
6908602-89.2025.8.25.1832,SE,Não reconhece operação,Golpe,Não Êxito,Procedência,"19.781,27","16.022,83"
7560436-15.2025.8.07.2282,DF,Não reconhece operação,Genérico,Êxito,Improcedência,"15.145,60","0,00"
8881006-64.2025.8.27.2086,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"16.408,58","0,00"
1957748-70.2025.8.24.5183,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"18.297,40","0,00"
7761766-27.2025.8.24.3879,SC,Não reconhece operação,Golpe,Êxito,Extinção,"10.706,49","0,00"
5566672-19.2025.8.06.5352,CE,Não reconhece operação,Genérico,Êxito,Improcedência,"20.444,78","0,00"
1198154-00.2025.8.05.4096,BA,Não reconhece operação,Genérico,Êxito,Improcedência,"15.595,06","0,00"
3166071-62.2025.8.06.3622,CE,Não reconhece operação,Golpe,Êxito,Extinção,"16.759,67","0,00"
2870119-57.2025.8.26.4951,SP,Não reconhece operação,Golpe,Êxito,Extinção,"14.106,49","0,00"
1294098-91.2025.8.25.2228,SE,Não reconhece operação,Genérico,Êxito,Improcedência,"12.811,88","0,00"
6674547-32.2025.8.25.7018,SE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"10.878,12","3.263,44"
5587276-12.2025.8.27.8871,TO,Não reconhece operação,Genérico,Êxito,Improcedência,"16.106,38","0,00"
2434261-40.2025.8.12.7218,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"18.018,79","0,00"
8529574-23.2025.8.19.1646,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"17.284,15","0,00"
8893256-78.2025.8.21.2019,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"12.223,46","0,00"
9682947-86.2025.8.27.0236,TO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.776,64","6.947,36"
1263129-30.2025.8.22.9953,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"18.142,46","0,00"
1111316-79.2025.8.11.2306,MT,Não reconhece operação,Genérico,Êxito,Improcedência,"12.234,16","0,00"
6200828-99.2025.8.14.8632,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"15.900,70","0,00"
1639206-28.2025.8.04.5143,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"18.489,53","0,00"
6364537-48.2025.8.24.1409,SC,Não reconhece operação,Golpe,Não Êxito,Procedência,"17.188,27","13.922,50"
9985392-06.2025.8.16.2430,PR,Não reconhece operação,Golpe,Êxito,Improcedência,"15.989,32","0,00"
3457730-37.2025.8.07.8966,DF,Não reconhece operação,Golpe,Êxito,Improcedência,"15.598,71","0,00"
5860864-67.2025.8.12.9637,MS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.275,46","8.708,03"
4116858-62.2025.8.22.3384,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"7.110,43","0,00"
4556819-84.2025.8.17.1443,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"21.282,72","14.472,25"
5537374-42.2025.8.21.1913,RS,Não reconhece operação,Golpe,Êxito,Extinção,"13.633,43","0,00"
2932201-73.2025.8.03.7226,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"23.356,47","18.918,74"
3831014-52.2025.8.26.4731,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"24.092,21","16.623,62"
7540938-22.2025.8.03.0611,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"15.820,83","15.346,21"
4346736-67.2025.8.15.7686,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"16.615,31","0,00"
6480844-56.2025.8.25.2952,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"13.916,17","0,00"
9955826-67.2025.8.03.6757,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"12.979,59","12.720,00"
2945031-95.2025.8.19.5595,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"22.234,52","0,00"
8630273-20.2025.8.18.3200,PI,Não reconhece operação,Golpe,Êxito,Improcedência,"12.835,52","0,00"
9734167-31.2025.8.06.4501,CE,Não reconhece operação,Golpe,Não Êxito,Procedência,"16.074,71","13.342,01"
2167948-14.2025.8.24.8914,SC,Não reconhece operação,Genérico,Êxito,Improcedência,"15.451,46","0,00"
8955458-73.2025.8.04.9612,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.023,86","9.898,13"
1944084-57.2025.8.04.2780,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"16.203,87","0,00"
9412470-87.2025.8.03.8812,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.533,12","12.973,18"
6918953-27.2025.8.18.5033,PI,Não reconhece operação,Golpe,Não Êxito,Procedência,"15.410,10","13.714,99"
3403653-67.2025.8.04.5142,AM,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"13.671,90","8.339,86"
1410114-27.2025.8.19.8549,RJ,Não reconhece operação,Golpe,Não Êxito,Procedência,"11.215,86","9.309,16"
2107396-02.2025.8.09.5687,GO,Não reconhece operação,Golpe,Êxito,Extinção,"23.229,89","0,00"
2431846-33.2025.8.09.8857,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,"13.722,80","11.664,38"
9608971-05.2025.8.26.0069,SP,Não reconhece operação,Golpe,Êxito,Extinção,"28.448,44","0,00"
4714161-41.2025.8.07.3660,DF,Não reconhece operação,Genérico,Êxito,Improcedência,"16.253,03","0,00"
7780079-31.2025.8.03.2228,AP,Não reconhece operação,Genérico,Êxito,Improcedência,"20.316,25","0,00"
7512889-78.2025.8.04.1962,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,"14.472,13","13.314,36"
2323986-59.2025.8.24.0928,SC,Não reconhece operação,Golpe,Não Êxito,Procedência,"20.152,75","17.532,89"
2743820-79.2025.8.08.8622,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"13.376,70","0,00"
5101837-01.2025.8.27.8770,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"16.750,49","0,00"
2583508-48.2025.8.07.2256,DF,Não reconhece operação,Genérico,Êxito,Improcedência,"12.028,52","0,00"
3268005-85.2025.8.22.9279,RO,Não reconhece operação,Genérico,Êxito,Extinção,"16.017,18","0,00"
8857492-32.2025.8.03.3082,AP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"20.172,23","14.322,28"
5008289-34.2025.8.01.1009,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.785,10","15.779,48"
5726715-66.2025.8.02.1101,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"15.115,28","0,00"
4920089-67.2025.8.09.0620,GO,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"11.035,49","6.952,36"
7043262-87.2025.8.10.5275,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"14.305,90","0,00"
4898949-68.2025.8.27.4041,TO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"15.028,50","12.173,09"
1812635-84.2025.8.24.4691,SC,Não reconhece operação,Genérico,Não Êxito,Procedência,"14.252,26","11.829,38"
3266357-29.2025.8.13.9780,MG,Não reconhece operação,Golpe,Não Êxito,Procedência,"7.923,55","7.685,84"
2420185-79.2025.8.04.4034,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"8.305,67","0,00"
8260146-64.2025.8.11.3738,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.366,69","5.172,01"
2977641-80.2025.8.09.5867,GO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.746,81","6.873,41"
8725957-50.2025.8.14.8475,PA,Não reconhece operação,Golpe,Não Êxito,Procedência,"14.657,71","13.045,36"
2551595-94.2025.8.03.8640,AP,Não reconhece operação,Golpe,Êxito,Improcedência,"9.775,35","0,00"
4316594-18.2025.8.10.2580,MA,Não reconhece operação,Genérico,Êxito,Extinção,"16.052,00","0,00"
1960803-26.2025.8.15.1580,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"16.086,07","0,00"
5593014-66.2025.8.01.1725,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"9.791,55","5.874,93"
9240372-81.2025.8.06.1418,CE,Não reconhece operação,Golpe,Não Êxito,Procedência,"13.400,07","12.730,07"
5998361-89.2025.8.12.7275,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"22.796,03","0,00"
7334846-33.2025.8.06.4999,CE,Não reconhece operação,Genérico,Êxito,Improcedência,"21.296,57","0,00"
7862510-03.2025.8.04.8370,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,"13.521,43","12.574,93"
3310389-23.2025.8.26.2484,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.159,86","5.663,94"
1319788-97.2025.8.20.9724,RN,Não reconhece operação,Genérico,Êxito,Extinção,"8.181,28","0,00"
7213541-32.2025.8.20.2395,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"11.647,66","0,00"
2566244-25.2025.8.16.1965,PR,Não reconhece operação,Golpe,Êxito,Improcedência,"14.276,70","0,00"
8143858-56.2025.8.11.4446,MT,Não reconhece operação,Genérico,Êxito,Improcedência,"11.544,21","0,00"
3711504-74.2025.8.11.2877,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"17.167,70","0,00"
1686161-79.2025.8.22.4609,RO,Não reconhece operação,Golpe,Êxito,Extinção,"20.669,52","0,00"
9280262-44.2025.8.26.1438,SP,Não reconhece operação,Golpe,Não Êxito,Procedência,"15.610,65","13.112,95"
6356243-64.2025.8.17.2516,PE,Não reconhece operação,Genérico,Êxito,Improcedência,"10.607,09","0,00"
1139149-58.2025.8.17.6838,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"12.881,84","5.152,74"
4502244-08.2025.8.08.8727,ES,Não reconhece operação,Golpe,Não Êxito,Procedência,"11.440,48","9.381,19"
9328376-71.2025.8.26.8934,SP,Não reconhece operação,Golpe,Não Êxito,Procedência,"4.664,73","4.244,90"
